,precision,recall,f1-score,support
almond,1.0,1.0,1.0,15.0
apple,1.0,1.0,1.0,16.0
banana,0.9411764705882353,1.0,0.9696969696969697,16.0
broccoli,1.0,1.0,1.0,15.0
carrot,1.0,0.9375,0.967741935483871,16.0
cashew,1.0,0.9230769230769231,0.96,13.0
chocolate_cake,0.9230769230769231,0.75,0.8275862068965517,16.0
cucumber,1.0,1.0,1.0,16.0
cupcake,0.8333333333333334,0.9375,0.8823529411764706,16.0
donut,0.7619047619047619,1.0,0.8648648648648649,16.0
french_fries,0.9375,0.9375,0.9375,16.0
hamburger,1.0,0.875,0.9333333333333333,16.0
hot_dog,1.0,0.875,0.9333333333333333,16.0
ice_cream,1.0,0.9411764705882353,0.9696969696969697,17.0
orange,1.0,1.0,1.0,16.0
peanut,1.0,1.0,1.0,12.0
pizza,0.85,0.9444444444444444,0.8947368421052632,18.0
strawberry,1.0,1.0,1.0,15.0
tomato,1.0,1.0,1.0,15.0
walnut,1.0,1.0,1.0,15.0
accuracy,0.954983922829582,0.954983922829582,0.954983922829582,0.954983922829582
macro avg,0.9623495744451628,0.9560598919054801,0.9570421698293814,311.0
weighted avg,0.9602953820657623,0.954983922829582,0.9554104983900629,311.0
